Source,Target,Weight,Type
APO Levadiakos,Hatta Club,1,Directed
APO Levadiakos,Kalmar FF,1,Directed
APO Levadiakos,Wisla Kraków,1,Directed
AS Monaco,1. FC Köln,1,Directed
AS Monaco,AJ Auxerre,1,Directed
AS Monaco,AZ Alkmaar,1,Directed
AS Monaco,Bayer 04 Leverkusen,1,Directed
AS Monaco,Bayern Munich,1,Directed
AS Monaco,Borussia Mönchengladbach,1,Directed
AS Monaco,Cercle Brugge,1,Directed
AS Monaco,Club Brugge,1,Directed
AS Monaco,Deportivo Alavés,1,Directed
AS Monaco,Everton,1,Directed
AS Monaco,Girondins de Bordeaux,1,Directed
AS Monaco,Grêmio,1,Directed
AS Monaco,Legia Warszawa,1,Directed
AS Monaco,Leicester City,1,Directed
AS Monaco,Liverpool FC,1,Directed
AS Monaco,NEC Nijmegen,1,Directed
AS Monaco,Olympique Lyon,1,Directed
AS Monaco,Paris Saint-Germain,1,Directed
AS Monaco,Partizan,1,Directed
AS Monaco,RB Leipzig,1,Directed
AS Monaco,RB Salzburg,1,Directed
AS Monaco,RC Strasbourg Alsace,1,Directed
AS Monaco,Reading FC,1,Directed
AS Monaco,SL Benfica,1,Directed
AS Monaco,Sevilla FC,1,Directed
AS Monaco,Stade Reims,1,Directed
AS Roma,Atlético Madrid,1,Directed
AS Roma,Bodø/Glimt,1,Directed
AS Roma,Elche CF,1,Directed
AS Roma,FC Porto,1,Directed
AS Roma,Genclerbirligi,1,Directed
AS Roma,Genoa,1,Directed
AS Roma,LOSC Lille,1,Directed
AS Roma,Leeds United,1,Directed
AS Roma,Olympiacos,1,Directed
AS Roma,Palmeiras,1,Directed
AS Roma,Paris Saint-Germain,1,Directed
AS Roma,Real Betis,1,Directed
AS Roma,Real Madrid,1,Directed
AS Roma,SH Shenhua,1,Directed
AS Roma,SL Benfica,1,Directed
AS Roma,SSC Napoli,1,Directed
AS Roma,Torino FC,1,Directed
AS Roma,Wolverhampton Wanderers,1,Directed
AS Saint-Étienne,1. FC Köln,1,Directed
AS Saint-Étienne,AC Le Havre,1,Directed
AS Saint-Étienne,AS Monaco,1,Directed
AS Saint-Étienne,Arsenal,1,Directed
AS Saint-Étienne,Basaksehir,1,Directed
AS Saint-Étienne,Bayer 04 Leverkusen,1,Directed
AS Saint-Étienne,Clermont Foot,1,Directed
AS Saint-Étienne,FC Barcelona,1,Directed
AS Saint-Étienne,Flamengo,1,Directed
AS Saint-Étienne,Girondins de Bordeaux,1,Directed
AS Saint-Étienne,Guédiawaye FC,1,Directed
AS Saint-Étienne,Liverpool FC,1,Directed
AS Saint-Étienne,Nîmes Olympique,1,Directed
AS Saint-Étienne,Olympiacos,1,Directed
AS Saint-Étienne,Paris Saint-Germain,1,Directed
AS Saint-Étienne,Real Betis,1,Directed
AS Saint-Étienne,SAS Epinal,1,Directed
AS Saint-Étienne,Tigres UANL,1,Directed
AS Saint-Étienne,USL Dunkerque,1,Directed
AS Saint-Étienne,Vitória SC,1,Directed
AZ Alkmaar,Ajax,1,Directed
AZ Alkmaar,Bodø/Glimt,1,Directed
AZ Alkmaar,Club Brugge,1,Directed
AZ Alkmaar,Djurgården,1,Directed
AZ Alkmaar,Elfsborg,1,Directed
AZ Alkmaar,FC Copenhagen,1,Directed
AZ Alkmaar,Hamburger SV,1,Directed
AZ Alkmaar,Hammarby,1,Directed
AZ Alkmaar,Inter Milan,1,Directed
AZ Alkmaar,Montréal,1,Directed
AZ Alkmaar,Nordsjaelland,1,Directed
AZ Alkmaar,Odense BK,1,Directed
AZ Alkmaar,PEC Zwolle,1,Directed
AZ Alkmaar,Southampton FC,1,Directed
AZ Alkmaar,Sparta Rotte,1,Directed
AZ Alkmaar,US Sassuolo,1,Directed
AZ Alkmaar,Vitesse,1,Directed
Adana Demirspor,AC Monza,1,Directed
Adana Demirspor,AJ Auxerre,1,Directed
Adana Demirspor,AS Dauphine FC,1,Directed
Adana Demirspor,AZ Alkmaar,1,Directed
Adana Demirspor,Altinordu,1,Directed
Adana Demirspor,Antalyaspor,1,Directed
Adana Demirspor,Aris Saloniki,1,Directed
Adana Demirspor,Asteras Tripoli,1,Directed
Adana Demirspor,Basaksehir,1,Directed
Adana Demirspor,Besiktas JK,1,Directed
Adana Demirspor,Brescia,1,Directed
Adana Demirspor,CF Estrela,1,Directed
Adana Demirspor,Club Brugge,1,Directed
Adana Demirspor,FC Midtjylland,1,Directed
Adana Demirspor,FC Telavi,1,Directed
Adana Demirspor,Fenerbahce,1,Directed
Adana Demirspor,Gaziantep FK,1,Directed
Adana Demirspor,Guaraní,1,Directed
Adana Demirspor,Hellas Verona,1,Directed
Adana Demirspor,Ionikos Nikeas,1,Directed
Adana Demirspor,Kocaelispor,1,Directed
Adana Demirspor,Konyaspor,1,Directed
Adana Demirspor,Manchester City,1,Directed
Adana Demirspor,Melbourne,1,Directed
Adana Demirspor,Menemen FK,1,Directed
Adana Demirspor,Menemenspor,1,Directed
Adana Demirspor,Middlesbrough FC,1,Directed
Adana Demirspor,RCD Espanyol,1,Directed
Adana Demirspor,Real Sociedad,1,Directed
Adana Demirspor,Schalke 04,1,Directed
Adana Demirspor,Stade Reims,1,Directed
Adana Demirspor,Zenit Saint Petersburg,1,Directed
Ajax,AZ Alkmaar,1,Directed
Ajax,Defensa,1,Directed
Ajax,Everton,1,Directed
Ajax,FC Copenhagen,1,Directed
Ajax,FC Emmen,1,Directed
Ajax,FC Porto,1,Directed
Ajax,FC Utrecht,1,Directed
Ajax,Feyenoord Rotterdam,1,Directed
Ajax,Galatasaray,1,Directed
Ajax,Go Ahead Eagles,1,Directed
Ajax,Juventus,1,Directed
Ajax,Nordsjaelland,1,Directed
Ajax,Pisa,1,Directed
Ajax,Rangers,1,Directed
Ajax,SC Heerenveen,1,Directed
Ajax,SL Benfica,1,Directed
Ajax,Standard Liège,1,Directed
Ajax,São Paulo,1,Directed
Ajax,Tottenham Hotspur,1,Directed
Ajax,Trabzonspor,1,Directed
Ajax,Villarreal CF,1,Directed
Ajax,Vitesse,1,Directed
Ajax,Werder Bremen,1,Directed
Ajax,West Ham United,1,Directed
Akhmat Grozny,Chaika Pes.,1,Directed
Akhmat Grozny,Enisey,1,Directed
Akhmat Grozny,FC Viitorul,1,Directed
Akhmat Grozny,Kuban,1,Directed
Akhmat Grozny,Lechia Gdansk,1,Directed
Akhmat Grozny,Lokomotiv Moscow,1,Directed
Akhmat Grozny,Montpellier HSC,1,Directed
Akhmat Grozny,NK Celje,1,Directed
Akhmat Grozny,Ordabasy,1,Directed
Akhmat Grozny,Rostov,1,Directed
Akhmat Grozny,Rotor Volgograd,1,Directed
Akhmat Grozny,Rubin Kazan,1,Directed
Akhmat Grozny,Ruzomberok,1,Directed
Akhmat Grozny,Tambov,1,Directed
Akhmat Grozny,Tom Tomsk,1,Directed
Akhmat Grozny,Udinese Calcio,1,Directed
Akhmat Grozny,Ural Yekaterinburg,1,Directed
Alanyaspor,1860 Munich,1,Directed
Alanyaspor,AC Monza,1,Directed
Alanyaspor,AEK Athens,1,Directed
Alanyaspor,Al-Ain FC,1,Directed
Alanyaspor,Al-Bataeh CSC,1,Directed
Alanyaspor,Amiens SC,1,Directed
Alanyaspor,Aris Saloniki,1,Directed
Alanyaspor,Arsenal,1,Directed
Alanyaspor,BB Erzurumspor,1,Directed
Alanyaspor,Boavista FC,1,Directed
Alanyaspor,Boluspor,1,Directed
Alanyaspor,Bristol City,1,Directed
Alanyaspor,Bucaspor 1928,1,Directed
Alanyaspor,Ceará SC,1,Directed
Alanyaspor,Dep. La Coruña,1,Directed
Alanyaspor,Dinamo Zagreb,1,Directed
Alanyaspor,E. Braunschweig,1,Directed
Alanyaspor,Empoli FC,1,Directed
Alanyaspor,Erbaaspor,1,Directed
Alanyaspor,Eskisehirspor,1,Directed
Alanyaspor,FC Sion,1,Directed
Alanyaspor,FC Zürich,1,Directed
Alanyaspor,Fatih Karagümrük,1,Directed
Alanyaspor,Feyenoord Rotterdam,1,Directed
Alanyaspor,Fulham FC,1,Directed
Alanyaspor,Galatasaray,1,Directed
Alanyaspor,Genclerbirligi,1,Directed
Alanyaspor,Göztepe,1,Directed
Alanyaspor,Isparta 32 Spor,1,Directed
Alanyaspor,Kayserispor,1,Directed
Alanyaspor,Konyaspor,1,Directed
Alanyaspor,Ksar Nouakchott,1,Directed
Alanyaspor,LASK,1,Directed
Alanyaspor,Mafra,1,Directed
Alanyaspor,Malatyaspor,1,Directed
Alanyaspor,Menemen FK,1,Directed
Alanyaspor,Menemenspor,1,Directed
Alanyaspor,Monterrey,1,Directed
Alanyaspor,Nîmes Olympique,1,Directed
Alanyaspor,Olympiacos,1,Directed
Alanyaspor,Olympique Marseille,1,Directed
Alanyaspor,Osmanlispor,1,Directed
Alanyaspor,Palmeiras,1,Directed
Alanyaspor,Real Valladolid,1,Directed
Alanyaspor,Red Star FC,1,Directed
Alanyaspor,SD Eibar,1,Directed
Alanyaspor,SM Caen,1,Directed
Alanyaspor,Santos FC,1,Directed
Alanyaspor,Sochi,1,Directed
Alanyaspor,Sporting CP,1,Directed
Alanyaspor,US Sassuolo,1,Directed
Alanyaspor,Ümraniyespor,1,Directed
Altay SK,Alanyaspor,1,Directed
Altay SK,Brann,1,Directed
Altay SK,Colo Colo,1,Directed
Altay SK,El Ahly,1,Directed
Altay SK,El Gouna,1,Directed
Altay SK,Esteghlal FC,1,Directed
Altay SK,Kahta 02 Spor,1,Directed
Altay SK,Mjällby AIF,1,Directed
Altay SK,Wisla Kraków,1,Directed
Amiens SC,1. FC Köln,1,Directed
Amiens SC,Basaksehir,1,Directed
Amiens SC,Brommapojkarna,1,Directed
Amiens SC,FC Liefering,1,Directed
Amiens SC,Huddersfield Town,1,Directed
Amiens SC,Leicester City,1,Directed
Amiens SC,Monaco,1,Directed
Amiens SC,OGC Nice,1,Directed
Amiens SC,Rayo Vallecano,1,Directed
Amiens SC,Ste. Geneviève,1,Directed
Amiens SC,Toulouse,1,Directed
Amiens SC,Udinese Calcio,1,Directed
Amiens SC,VfB Stuttgart,1,Directed
Angers SCO,AS Saint-Étienne,1,Directed
Angers SCO,Brighton & Hove Albion,1,Directed
Angers SCO,Esperance,1,Directed
Angers SCO,FC Nantes,1,Directed
Angers SCO,FC Sion,1,Directed
Angers SCO,FK Sarajevo,1,Directed
Angers SCO,Ferencváros,1,Directed
Angers SCO,Girondins de Bordeaux,1,Directed
Angers SCO,Hajduk Split,1,Directed
Angers SCO,Le Mans FC,1,Directed
Angers SCO,Minnesota,1,Directed
Angers SCO,Paradou AC,1,Directed
Angers SCO,Paris FC,1,Directed
Angers SCO,SM Caen,1,Directed
Angers SCO,Sevilla FC,1,Directed
Angers SCO,Stade Reims,1,Directed
Angers SCO,US Avranches,1,Directed
Angers SCO,USL Dunkerque,1,Directed
Antalyaspor,Al-Ahli SFC,1,Directed
Antalyaspor,Al-Kahrbaa Club,1,Directed
Antalyaspor,Ankaraspor,1,Directed
Antalyaspor,BB Bodrumspor,1,Directed
Antalyaspor,Besiktas JK,1,Directed
Antalyaspor,Bodrum FK,1,Directed
Antalyaspor,Bologna FC 1909,1,Directed
Antalyaspor,Caykur Rizespor,1,Directed
Antalyaspor,DL Pro,1,Directed
Antalyaspor,ES Sétif,1,Directed
Antalyaspor,FC Porto,1,Directed
Antalyaspor,FC St. Pauli,1,Directed
Antalyaspor,Fatih Karagümrük,1,Directed
Antalyaspor,Fenerbahce,1,Directed
Antalyaspor,Galatasaray,1,Directed
Antalyaspor,Gaziantep FK,1,Directed
Antalyaspor,Genoa,1,Directed
Antalyaspor,Hatayspor,1,Directed
Antalyaspor,Hull City,1,Directed
Antalyaspor,Istanbulspor,1,Directed
Antalyaspor,Júbilo Iwata,1,Directed
Antalyaspor,Kasimpasa,1,Directed
Antalyaspor,Kocaelispor,1,Directed
Antalyaspor,Konyaspor,1,Directed
Antalyaspor,Lechia Gdansk,1,Directed
Antalyaspor,Lokomotiv Moscow,1,Directed
Antalyaspor,MKE Ankaragücü,1,Directed
Antalyaspor,Malatyaspor,1,Directed
Antalyaspor,Malmö FF,1,Directed
Antalyaspor,Olympiacos,1,Directed
Antalyaspor,Paksi FC,1,Directed
Antalyaspor,Palmeiras,1,Directed
Antalyaspor,RC Lens,1,Directed
Antalyaspor,RCD Espanyol,1,Directed
Antalyaspor,SC Heerenveen,1,Directed
Antalyaspor,SCR Altach,1,Directed
Antalyaspor,SD Huesca,1,Directed
Antalyaspor,SL Benfica,1,Directed
Antalyaspor,Shakhtar D.,1,Directed
Antalyaspor,Shkendija,1,Directed
Antalyaspor,Sivasspor,1,Directed
Antalyaspor,Sochi,1,Directed
Antalyaspor,Sporting CP,1,Directed
Antalyaspor,VfL Bochum,1,Directed
Antalyaspor,VfL Wolfsburg,1,Directed
Antalyaspor,Vissel Kobe,1,Directed
Antalyaspor,Watford,1,Directed
Antalyaspor,Western United,1,Directed
Apollon Smyrnis,AO Kavala,1,Directed
Apollon Smyrnis,Apol. Limassol,1,Directed
Apollon Smyrnis,Asteras Tripoli,1,Directed
Apollon Smyrnis,BATE Borisov,1,Directed
Apollon Smyrnis,De Graafschap,1,Directed
Apollon Smyrnis,Dinamo Minsk,1,Directed
Apollon Smyrnis,Ethnikos,1,Directed
Apollon Smyrnis,Hibernian FC,1,Directed
Apollon Smyrnis,IFK Göteborg,1,Directed
Apollon Smyrnis,KSC Lokeren,1,Directed
Apollon Smyrnis,Kaspiy Aktau,1,Directed
Apollon Smyrnis,Kayserispor,1,Directed
Apollon Smyrnis,Lech Poznan,1,Directed
Apollon Smyrnis,NK Domzale,1,Directed
Apollon Smyrnis,Panathinaikos,1,Directed
Apollon Smyrnis,VfL Bochum,1,Directed
Apollon Smyrnis,Wydad AC,1,Directed
Apollon Smyrnis,Würzb. Kickers,1,Directed
Aris Thessaloniki,AIK,1,Directed
Aris Thessaloniki,AJ Auxerre,1,Directed
Aris Thessaloniki,APOEL Nicosia,1,Directed
Aris Thessaloniki,Al-Duhail SC,1,Directed
Aris Thessaloniki,Aldosivi,1,Directed
Aris Thessaloniki,Athletic Bilbao,1,Directed
Aris Thessaloniki,Austria Vienna,1,Directed
Aris Thessaloniki,CD Leganés,1,Directed
Aris Thessaloniki,CD Olimpia,1,Directed
Aris Thessaloniki,CDS Vida,1,Directed
Aris Thessaloniki,CSKA-Sofia,1,Directed
Aris Thessaloniki,Caykur Rizespor,1,Directed
Aris Thessaloniki,Denizlispor,1,Directed
Aris Thessaloniki,Dep. La Coruña,1,Directed
Aris Thessaloniki,Dinamo Zagreb,1,Directed
Aris Thessaloniki,FC Lorient,1,Directed
Aris Thessaloniki,FC Nantes,1,Directed
Aris Thessaloniki,Fulham FC,1,Directed
Aris Thessaloniki,Gil Vicente FC,1,Directed
Aris Thessaloniki,Girondins de Bordeaux,1,Directed
Aris Thessaloniki,Górnik Zabrze,1,Directed
Aris Thessaloniki,Heracles Almelo,1,Directed
Aris Thessaloniki,Hertha BSC,1,Directed
Aris Thessaloniki,Ionikos Nikeas,1,Directed
Aris Thessaloniki,Konyaspor,1,Directed
Aris Thessaloniki,Ludogorets,1,Directed
Aris Thessaloniki,NK Lokomotiva,1,Directed
Aris Thessaloniki,Olympique Lyon,1,Directed
Aris Thessaloniki,Olympique Marseille,1,Directed
Aris Thessaloniki,PAOK,1,Directed
Aris Thessaloniki,PAS Giannina,1,Directed
Aris Thessaloniki,PASA Irodotos,1,Directed
Aris Thessaloniki,Queens Park Rangers,1,Directed
Aris Thessaloniki,Red Star FC,1,Directed
Aris Thessaloniki,SK Dnipro-1,1,Directed
Aris Thessaloniki,Salt Lake,1,Directed
Aris Thessaloniki,Saprissa,1,Directed
Aris Thessaloniki,Shakhtar D.,1,Directed
Aris Thessaloniki,Sporting Gijón,1,Directed
Aris Thessaloniki,Trabzonspor,1,Directed
Aris Thessaloniki,UD Las Palmas,1,Directed
Aris Thessaloniki,UNAM Pumas,1,Directed
Aris Thessaloniki,Urawa Reds,1,Directed
Aris Thessaloniki,Vardar,1,Directed
Aris Thessaloniki,VfB Stuttgart,1,Directed
Aris Thessaloniki,Viktoria Plzen,1,Directed
Aris Thessaloniki,West Ham United,1,Directed
Arminia Bielefeld,1.FC Nuremberg,1,Directed
Arminia Bielefeld,1.FSV Mainz 05,1,Directed
Arminia Bielefeld,1860 Munich,1,Directed
Arminia Bielefeld,Altinordu,1,Directed
Arminia Bielefeld,Atlanta,1,Directed
Arminia Bielefeld,Austria Vienna,1,Directed
Arminia Bielefeld,Erzgebirge Aue,1,Directed
Arminia Bielefeld,FC Augsburg,1,Directed
Arminia Bielefeld,FC Sochaux,1,Directed
Arminia Bielefeld,Feirense,1,Directed
Arminia Bielefeld,Genoa,1,Directed
Arminia Bielefeld,Hertha BSC,1,Directed
Arminia Bielefeld,Holstein Kiel,1,Directed
Arminia Bielefeld,LASK,1,Directed
Arminia Bielefeld,Mouscron,1,Directed
Arminia Bielefeld,Odense BK,1,Directed
Arminia Bielefeld,PSV Eindhoven,1,Directed
Arminia Bielefeld,RSC Anderlecht,1,Directed
Arminia Bielefeld,SC Paderborn,1,Directed
Arminia Bielefeld,SCR Altach,1,Directed
Arminia Bielefeld,Schalke 04,1,Directed
Arminia Bielefeld,Swansea City,1,Directed
Arminia Bielefeld,Werder Bremen,1,Directed
Arsenal,AS Saint-Étienne,1,Directed
Arsenal,Atlético Madrid,1,Directed
Arsenal,Bologna FC 1909,1,Directed
Arsenal,Celtic,1,Directed
Arsenal,Colorado,1,Directed
Arsenal,Dijon FCO,1,Directed
Arsenal,FC Porto,1,Directed
Arsenal,Ituano,1,Directed
Arsenal,New England,1,Directed
Arsenal,RSC Anderlecht,1,Directed
Arsenal,SL Benfica,1,Directed
Arsenal,Sheffield United,1,Directed
Arsenal,Spezia Calcio,1,Directed
Arsenal,São Paulo,1,Directed
Arsenal Tula,Avangard Kursk,1,Directed
Arsenal Tula,Buildcon FC,1,Directed
Arsenal Tula,CSKA Moscow,1,Directed
Arsenal Tula,Dynamo Kyiv,1,Directed
Arsenal Tula,Dynamo Moscow,1,Directed
Arsenal Tula,FC Voluntari,1,Directed
Arsenal Tula,Gaziantep FK,1,Directed
Arsenal Tula,Krylya Sovetov Samara,1,Directed
Arsenal Tula,Pafos FC,1,Directed
Arsenal Tula,Red Star FC,1,Directed
Arsenal Tula,Sirius,1,Directed
Arsenal Tula,Sochi,1,Directed
Arsenal Tula,Sparta Prague,1,Directed
Arsenal Tula,Tambov,1,Directed
Arsenal Tula,Werder Bremen,1,Directed
Arsenal Tula,ZESCO United FC,1,Directed
Asteras Tripolis,ABS FC,1,Directed
Asteras Tripolis,AEK Athens,1,Directed
Asteras Tripolis,APOEL Nicosia,1,Directed
Asteras Tripolis,Aris Saloniki,1,Directed
Asteras Tripolis,C.A.I.,1,Directed
Asteras Tripolis,CD Vitoria,1,Directed
Asteras Tripolis,Caxias-RS,1,Directed
Asteras Tripolis,Cádiz CF,1,Directed
Asteras Tripolis,Defensa,1,Directed
Asteras Tripolis,Fatih Karagümrük,1,Directed
Asteras Tripolis,Girona FC,1,Directed
Asteras Tripolis,Górnik Zabrze,1,Directed
Asteras Tripolis,Ionikos Nikeas,1,Directed
Asteras Tripolis,Karmiotissa,1,Directed
Asteras Tripolis,Miedz Legnica,1,Directed
Asteras Tripolis,PAS Lamia 1964,1,Directed
Asteras Tripolis,PO Triglias,1,Directed
Asteras Tripolis,Panargiakos,1,Directed
Asteras Tripolis,Panetolikos,1,Directed
Asteras Tripolis,Quilmes,1,Directed
Asteras Tripolis,Real Sociedad,1,Directed
Asteras Tripolis,Real Zaragoza,1,Directed
Asteras Tripolis,SD Eibar,1,Directed
Asteras Tripolis,Toluca,1,Directed
Asteras Tripolis,UCAM Murcia,1,Directed
Asteras Tripolis,Volos FC,1,Directed
Aston Villa,AC Milan,1,Directed
Aston Villa,AFC Bournemouth,1,Directed
Aston Villa,Bayer 04 Leverkusen,1,Directed
Aston Villa,Birmingham City,1,Directed
Aston Villa,Burnley,1,Directed
Aston Villa,Chicago,1,Directed
Aston Villa,Everton,1,Directed
Aston Villa,Inter Milan,1,Directed
Aston Villa,KRC Genk,1,Directed
Aston Villa,Kasimpasa,1,Directed
Aston Villa,LOSC Lille,1,Directed
Aston Villa,Manchester City,1,Directed
Aston Villa,Manchester United,1,Directed
Aston Villa,Norwich,1,Directed
Aston Villa,Nottingham Forest,1,Directed
Aston Villa,Olympique Lyon,1,Directed
Aston Villa,Real Betis,1,Directed
Aston Villa,Stade Reims,1,Directed
Aston Villa,Swansea City,1,Directed
Atalanta BC,AC Milan,1,Directed
Atalanta BC,AZ Alkmaar,1,Directed
Atalanta BC,Cittadella,1,Directed
Atalanta BC,Fenerbahce,1,Directed
Atalanta BC,Girona FC,1,Directed
Atalanta BC,Girondins de Bordeaux,1,Directed
Atalanta BC,Hellas Verona,1,Directed
Atalanta BC,Heracles Almelo,1,Directed
Atalanta BC,Lokomotiv Moscow,1,Directed
Atalanta BC,Monopoli,1,Directed
Atalanta BC,Montespaccato,1,Directed
Atalanta BC,NK Osijek,1,Directed
Atalanta BC,OGC Nice,1,Directed
Atalanta BC,PSV Eindhoven,1,Directed
Atalanta BC,RB Leipzig,1,Directed
Atalanta BC,Salernitana,1,Directed
Atalanta BC,Shakhtar D.,1,Directed
Atalanta BC,Sturm Graz,1,Directed
Atalanta BC,Südtirol,1,Directed
Atalanta BC,Valencia CF,1,Directed
Athletic Bilbao,SD Amorebieta,1,Directed
Athletic Bilbao,Torino FC,1,Directed
Atlético Madrid,AS Monaco,1,Directed
Atlético Madrid,Arsenal,1,Directed
Atlético Madrid,Athletico-PR,1,Directed
Atlético Madrid,Borussia Dortmund,1,Directed
Atlético Madrid,Chelsea FC,1,Directed
Atlético Madrid,Fluminense,1,Directed
Atlético Madrid,Gil Vicente FC,1,Directed
Atlético Madrid,Hertha BSC,1,Directed
Atlético Madrid,LOSC Lille,1,Directed
Atlético Madrid,NK Lokomotiva,1,Directed
Atlético Madrid,Olympique Lyon,1,Directed
Atlético Madrid,RCD Espanyol,1,Directed
Atlético Madrid,Real Madrid,1,Directed
Atlético Madrid,SL Benfica,1,Directed
Atlético Madrid,San Luis,1,Directed
Atromitos,APO Levadiakos,1,Directed
Atromitos,APOEL Nicosia,1,Directed
Atromitos,Al-Fayha,1,Directed
Atromitos,Apol. Limassol,1,Directed
Atromitos,Apollon Smyrnis,1,Directed
Atromitos,Argentinos Jrs.,1,Directed
Atromitos,Arka Gdynia,1,Directed
Atromitos,Austria Vienna,1,Directed
Atromitos,B. Jerusalem,1,Directed
Atromitos,Boavista FC,1,Directed
Atromitos,CA Colon,1,Directed
Atromitos,FC Ingolstadt,1,Directed
Atromitos,Granada CF,1,Directed
Atromitos,Houston,1,Directed
Atromitos,IFK Göteborg,1,Directed
Atromitos,Iraklis,1,Directed
Atromitos,KVC Westerlo,1,Directed
Atromitos,Kayserispor,1,Directed
Atromitos,Loko Plovdiv,1,Directed
Atromitos,Ludogorets,1,Directed
Atromitos,M. Tel Aviv,1,Directed
Atromitos,NK Maribor,1,Directed
Atromitos,Niki Volou,1,Directed
Atromitos,Nottingham Forest,1,Directed
Atromitos,OFI Crete FC,1,Directed
Atromitos,PAOK,1,Directed
Atromitos,Panachaiki,1,Directed
Atromitos,Panathinaikos,1,Directed
Atromitos,Panionios,1,Directed
Atromitos,Partizan,1,Directed
Atromitos,RC Lens,1,Directed
Atromitos,Red Star FC,1,Directed
Atromitos,SV Mattersburg,1,Directed
Atromitos,Salernitana,1,Directed
Atromitos,Sepsi OSK,1,Directed
Atromitos,Sivasspor,1,Directed
Atromitos,Sturm Graz,1,Directed
Atromitos,Sumgayit,1,Directed
Atromitos,Toulouse,1,Directed
Atromitos,Trento,1,Directed
Atromitos,U. Concepción,1,Directed
Atromitos,UD Las Palmas,1,Directed
Atromitos,Viking FK,1,Directed
Atromitos,Volos FC,1,Directed
Atromitos,Vålerenga,1,Directed
Atromitos,Wolfsberger AC,1,Directed
Atromitos,Zorya Lugansk,1,Directed
Atromitos,Zulte Waregem,1,Directed
BB Erzurumspor,Alanyaspor,1,Directed
BB Erzurumspor,Cercle Brugge,1,Directed
BB Erzurumspor,Denizlispor,1,Directed
BB Erzurumspor,FC Sochaux,1,Directed
BB Erzurumspor,Fatih Karagümrük,1,Directed
BB Erzurumspor,Gaziantep FK,1,Directed
BB Erzurumspor,Göztepe,1,Directed
BB Erzurumspor,Kayserispor,1,Directed
BB Erzurumspor,Le Havre AC,1,Directed
BB Erzurumspor,Legia Warszawa,1,Directed
BB Erzurumspor,Levante UD,1,Directed
BB Erzurumspor,Odds BK,1,Directed
BB Erzurumspor,Rakow,1,Directed
BB Erzurumspor,Shakhtar D.,1,Directed
BB Erzurumspor,Sharjah FC,1,Directed
BB Erzurumspor,Ural Yekaterinburg,1,Directed
BB Erzurumspor,Örgryte,1,Directed
BB Erzurumspor,Ümraniyespor,1,Directed
Barnsley,AC Horsens,1,Directed
Barnsley,AFC Wimbledon,1,Directed
Barnsley,Admira Wacker,1,Directed
Barnsley,Burnley,1,Directed
Barnsley,Coventry City,1,Directed
Barnsley,Cracovia,1,Directed
Barnsley,Derby County,1,Directed
Barnsley,FC Metz,1,Directed
Barnsley,Forest Green,1,Directed
Barnsley,KSC Lokeren,1,Directed
Barnsley,LASK,1,Directed
Barnsley,Leeds United,1,Directed
Barnsley,Leicester City,1,Directed
Barnsley,MK Dons,1,Directed
Barnsley,Motherwell FC,1,Directed
Barnsley,Norwich,1,Directed
Barnsley,Orlando,1,Directed
Barnsley,RB Salzburg,1,Directed
Barnsley,Standard Liège,1,Directed
Barnsley,Toulouse,1,Directed
Barnsley,Watford,1,Directed
Basaksehir,AS Monaco,1,Directed
Basaksehir,Al-Nassr,1,Directed
Basaksehir,Altinordu,1,Directed
Basaksehir,Atalanta BC,1,Directed
Basaksehir,Balikesirspor,1,Directed
Basaksehir,Bandirmaspor,1,Directed
Basaksehir,Besiktas JK,1,Directed
Basaksehir,CD Lugo,1,Directed
Basaksehir,Celtic,1,Directed
Basaksehir,Diables Noirs,1,Directed
Basaksehir,Dijon FCO,1,Directed
Basaksehir,E. Erokspor,1,Directed
Basaksehir,Fatih Karagümrük,1,Directed
Basaksehir,Galatasaray,1,Directed
Basaksehir,Gaziantep FK,1,Directed
Basaksehir,GuaZ FC,1,Directed
Basaksehir,Göztepe,1,Directed
Basaksehir,Hatayspor,1,Directed
Basaksehir,Hertha BSC,1,Directed
Basaksehir,Ittihad Kalba,1,Directed
Basaksehir,Khor Fakkan,1,Directed
Basaksehir,Maccabi Netanya,1,Directed
Basaksehir,Malatyaspor,1,Directed
Basaksehir,Nazilli Bld.,1,Directed
Basaksehir,Olympique Lyon,1,Directed
Basaksehir,PSV Eindhoven,1,Directed
Basaksehir,RB Salzburg,1,Directed
Basaksehir,RKC Waalwijk,1,Directed
Basaksehir,RSC Anderlecht,1,Directed
Basaksehir,SL Benfica,1,Directed
Basaksehir,SM Caen,1,Directed
Basaksehir,Schalke 04,1,Directed
Basaksehir,Sevilla FC,1,Directed
Basaksehir,Sivasspor,1,Directed
Basaksehir,Udinese Calcio,1,Directed
Basaksehir,Zaglebie Lubin,1,Directed
Bayer 04 Leverkusen,1. FC Union Berlin,1,Directed
Bayer 04 Leverkusen,1.FC K'lautern,1,Directed
Bayer 04 Leverkusen,AS Roma,1,Directed
Bayer 04 Leverkusen,Ajax,1,Directed
Bayer 04 Leverkusen,Atlético Madrid,1,Directed
Bayer 04 Leverkusen,Bogotá FC,1,Directed
Bayer 04 Leverkusen,CA Talleres,1,Directed
Bayer 04 Leverkusen,Celtic,1,Directed
Bayer 04 Leverkusen,Chelsea FC,1,Directed
Bayer 04 Leverkusen,Leicester City,1,Directed
